Questions,Difficulty Level,Bloom's Taxonomy,Category,Sub Category
what is the most widely cultivated plant,Easy,Remembering,Entity,Plant
what wild and crazy guy wrote a book called cruel shoes,Medium,Understanding,Human,Individual
what city  s theatrical district has been dubbed the roaring forties,Medium,Remembering,Location,City
what should the temperature be set at while baking peachy oat muffins,Medium,Creating,Numeric,Temperature
what police force did mack sennett create,Medium,Understanding,Human,Groups
how many home runs did babe ruth hit in his lifetime,Hard,Understanding,Numeric,Count
who was in death of a salesman original movie   not     ,Easy,Remembering,Human,Individual
how do i get a complete list of all the people that are living with the last name kilvington,Hard,Understanding,Description,Manner
what is dr  ruth  s last name,Easy,Remembering,Human,Individual
what  s the world  s most common compound,Medium,Remembering,Entity,Substance
where was george washington born,Medium,Understanding,Location,Other
how many colors are there in the spectrum,Hard,Understanding,Numeric,Count
what  s the middle name of movie producer joseph e  levine,Medium,Remembering,Human,Individual
define sinn fein  ,Medium,Understanding,Description,Definition
what two caribbean countries share the island of hispaniola,Medium,Understanding,Location,Country
what is in baby powder and baby lotion that makes it smell the way it does,Easy,Remembering,Description,Reason
what is probability theory,Easy,Remembering,Description,Definition
who told all in ball four,Easy,Remembering,Human,Individual
what kind of car did janis joplin ask the lord to buy her,Medium,Understanding,Entity,Product
who followed willy brandt as chancellor of the federal republic of germany,Easy,Remembering,Human,Individual
what continent  s second highest peak is mont blanc,Easy,Remembering,Location,Mountain
what peruvian city is home to the mummified body of francisco pizarro,Medium,Remembering,Location,City
when did french revolutionaries storm the bastille,Medium,Understanding,Numeric,Date
how can i look up someone  s e mail address on the internet,Hard,Understanding,Description,Manner
how many men died building the mackinaw bridge,Hard,Understanding,Numeric,Count
how do you tell somebody you like them,Medium,Understanding,Description,Manner
what name does the world know renaissance artist kyriakos theotokopoulos by,Medium,Remembering,Human,Individual
who is the president of bolivia,Easy,Remembering,Human,Individual
what nationality is gorbachev,Easy,Remembering,Location,Country
who played the title role in the romantic englishwoman,Hard,Remembering,Human,Individual
what president once told gene autry      please give my regards to your wife dale   ,Medium,Understanding,Human,Individual
who made the deodorant that claimed that it    actually builds up resistance to odor   ,Hard,Remembering,Human,Individual
what is the shape of a football as stated in the nfl rulebook,Easy,Remembering,Entity,Other
what is the origin of thank you notes,Easy,Remembering,Description,Description
who used auh o as an election slogan,Easy,Remembering,Human,Individual
how long do you have to pay back debt after claiming chapter    bankruptcy,Medium,Understanding,Numeric,Period of time
what shakespearean play featured shylock,Easy,Remembering,Entity,"Currency, monetary value, or gem"
which magazine is    fine entertainment for men   ,Easy,Remembering,Entity,"Currency, monetary value, or gem"
why do roosters sing at five o  clock in the morning,Hard,Understanding,Description,Reason
what features of the african elephant are larger than those of the indian elephant,Medium,Understanding,Description,Description
what ocean surrounds the maldive islands,Medium,Understanding,Location,Other
what south american country won its first world cup soccer title in     ,Medium,Understanding,Location,Country
how many cullions does a male have,Hard,Understanding,Numeric,Count
what painter popularized soup cans and brillo soap pad boxes,Hard,Understanding,Human,Individual
who played lucas mccain on the rifleman,Easy,Remembering,Human,Individual
what colorful sea  s region does greek legend say the amazons lived near,Medium,Understanding,Location,Other
who was the only person convicted in the my lai massacre,Easy,Remembering,Human,Individual
on what continent is mozambique,Easy,Remembering,Location,Other
what words in the english have two u  s back to back,Medium,Understanding,Entity,Word
what do hasidic jews refrain from while dating,Medium,Understanding,Entity,Other
what was the name given the         german airforce troops that used the spanish civil war as a training exercise,Medium,Remembering,Human,Groups
what is the poetic meter of blank verse,Easy,Remembering,Description,Definition
rotary engine cars were made by what company,Medium,Creating,Human,Groups
who was the lawyer who represented randy steven craft,Easy,Remembering,Human,Individual
what is the history of the soft drink mr  pibb,Easy,Remembering,Description,Description
which is a real berry   blackberry   cranberry   raspberry   strawberry,Easy,Remembering,Entity,Food
what materials did the three little pigs use to build their houses,Easy,Remembering,Entity,Substance
what part did benjamin franklin play in the development of the newspaper in america,Medium,Understanding,Human,Individual
when was microsoft established,Medium,Understanding,Numeric,Date
when did president kennedy   lee harvey oswald   and jack ruby all die,Hard,Understanding,Numeric,Date
what is the u s  location of procter & gamble corporate offices,Easy,Remembering,Location,Other
what is platinum,Easy,Remembering,Description,Definition
what state is known as the hawkeye state,Easy,Remembering,Location,State or province
who is the prime minister of australia,Easy,Remembering,Human,Individual
what are all the southern states of the u s ,Medium,Understanding,Location,State or province
what does the river seine empty into,Hard,Understanding,Location,Other
what did people use to freshen their breath before toothpaste,Medium,Understanding,Entity,Other
which airplane was fawaz younis convicted of hijacking,Medium,Understanding,Entity,Vehicle
what state did anita bryant represent in the      miss america contest,Medium,Understanding,Location,State or province
how many soldiers were involved in the last panama invasion by the united states of america,Medium,Understanding,Numeric,Count
describe the long march  ,Medium,Understanding,Description,Description
what major league baseball team compiled the best won lost record between      and     ,Medium,Understanding,Human,Groups
how many propellers helped power the plane the wright brothers flew into history,Hard,Understanding,Numeric,Count
who died with more than         u s  patents to his credit,Easy,Remembering,Human,Individual
what was the name of randy steven craft  s lawyer,Medium,Remembering,Human,Individual
who won the first general election for president held in malawi in may     ,Easy,Remembering,Human,Individual
where is south bend,Easy,Remembering,Location,Other
what country has the most coastline,Medium,Remembering,Location,Country
what two states is washington d c  between,Easy,Remembering,Location,State or province
in what year did joe dimaggio compile his    game hitting streak,Medium,Understanding,Numeric,Date
what year was the setting for american graffiti,Medium,Understanding,Numeric,Date
